lemma	form	pos
the	the	DET
.	.	PUNCT
,	,	PUNCT
_	_	NOUN
and	and	CCONJ
of	of	ADP
a	a	DET
in	in	ADP
to	to	PART
i	i	PRON
it	it	PRON
be	is	AUX
you	you	PRON
for	for	ADP
be	was	AUX
on	on	ADP
with	with	ADP
he	he	PRON
""""	""""	PUNCT
that	that	SCONJ
be	be	AUX
-	-	PUNCT
they	they	PRON
not	not	PART
be	are	AUX
at	at	ADP
we	we	PRON
)	)	PUNCT
(	(	PUNCT
from	from	ADP
or	or	CCONJ
by	by	ADP
but	but	CCONJ
's	's	PART
?	?	PUNCT
this	this	DET
will	will	AUX
if	if	SCONJ
as	as	ADP
can	can	AUX
have	have	VERB
my	my	PRON
not	n't	PART
he	his	PRON
:	:	PUNCT
would	would	AUX
a	an	DET
do	do	AUX
i	me	PRON
be	were	AUX
there	there	PRON
so	so	ADV
!	!	PUNCT
have	had	AUX
what	what	PRON
which	which	PRON
be	been	AUX
you	your	PRON
one	one	NUM
have	has	AUX
she	she	PRON
time	time	NOUN
who	who	PRON
they	them	PRON
all	all	DET
also	also	ADV
he	him	PRON
just	just	ADV
other	other	ADJ
say	said	VERB
they	their	PRON
into	into	ADP
know	know	VERB
some	some	DET
very	very	ADV
'	'	PUNCT
she	her	PRON
get	get	VERB
about	about	ADP
people	people	NOUN
any	any	DET
;	;	PUNCT
could	could	AUX
out	out	ADP
up	up	ADP
no	no	DET
good	good	ADJ
then	then	ADV
now	now	ADV
two	two	NUM
like	like	ADP
new	new	ADJ
see	see	VERB
should	should	AUX
do	did	AUX
we	our	PRON
only	only	ADV
go	go	VERB
make	make	VERB
when	when	ADV
many	many	ADJ
great	great	ADJ
even	even	ADV
...	...	PUNCT
how	how	ADV
want	want	VERB
[	[	PUNCT
]	]	PUNCT
way	way	NOUN
may	may	AUX
than	than	ADP
take	take	VERB
–	–	PUNCT
first	first	ADJ
place	place	NOUN
year	years	NOUN
back	back	ADV
its	its	PRON
well	well	ADV
here	here	ADV
more	more	ADV
think	think	VERB
after	after	ADP
make	made	VERB
because	because	SCONJ
go	going	VERB
over	over	ADP
year	year	NOUN
be	am	AUX
please	please	INTJ
day	day	NOUN
work	work	NOUN
service	service	NOUN
these	these	DET
we	us	PRON
still	still	ADV
world	world	NOUN
too	too	ADV
through	through	ADP
same	same	ADJ
$	$	SYM
need	need	VERB
food	food	NOUN
/	/	PUNCT
between	between	ADP
best	best	ADJ
be	'm	AUX
say	say	VERB
be	being	AUX
again	again	ADV
let	let	VERB
never	never	ADV
use	use	VERB
last	last	ADJ
do	does	AUX
use	used	VERB
number	number	NOUN
really	really	ADV
thanks	thanks	NOUN
find	find	VERB
2	2	NUM
1	1	NUM
come	come	VERB
however	however	ADV
own	own	ADJ
under	under	ADP
will	'll	AUX
put	put	VERB
where	where	ADV
while	while	SCONJ
call	called	VERB
bush	bush	PROPN
such	such	ADJ
life	life	NOUN
have	've	AUX
few	few	ADJ
car	car	NOUN
""""	“	PUNCT
get	got	VERB
little	little	ADJ
""""	”	PUNCT
old	old	ADJ
during	during	ADP
must	must	AUX
group	group	NOUN
--	--	PUNCT
give	give	VERB
most	most	ADV
always	always	ADV
name	name	NOUN
be	're	AUX
come	came	VERB
off	off	ADP
take	took	VERB
man	man	NOUN
look	look	VERB
every	every	DET
thing	things	NOUN
harry	harry	PROPN
each	each	DET
data	data	NOUN
much	much	ADV
against	against	ADP
around	around	ADP
area	area	NOUN
another	another	DET
tell	told	VERB
part	part	NOUN
3	3	NUM
day	days	NOUN
find	found	VERB
already	already	ADV
help	help	VERB
room	room	NOUN
sure	sure	ADJ
go	went	VERB
city	city	NOUN
end	end	NOUN
use	using	VERB
small	small	ADJ
three	three	NUM
before	before	SCONJ
different	different	ADJ
thing	thing	NOUN
next	next	ADJ
information	information	NOUN
night	night	NOUN
ever	ever	ADV
keep	keep	VERB
long	long	ADJ
family	family	NOUN
united	united	PROPN
lot	lot	NOUN
water	water	NOUN
&	&	CCONJ
down	down	ADV
do	done	VERB
away	away	ADV
why	why	ADV
pm	pm	NOUN
several	several	ADJ
try	try	VERB
might	might	AUX
something	something	PRON
look	looking	VERB
feel	feel	VERB
line	line	NOUN
government	government	NOUN
do	doing	VERB
father	father	NOUN
company	company	NOUN
5	5	NUM
country	country	NOUN
business	business	NOUN
nothing	nothing	PRON
without	without	ADP
since	since	SCONJ
school	school	NOUN
today	today	NOUN
field	field	NOUN
far	far	ADV
important	important	ADJ
able	able	ADJ
job	job	NOUN
high	high	ADJ
large	large	ADJ
say	says	VERB
al	al	PROPN
language	language	NOUN
house	house	NOUN
home	home	NOUN
money	money	NOUN
report	report	NOUN
within	within	ADP
price	price	NOUN
week	week	NOUN
system	system	NOUN
shakespeare	shakespeare	PROPN
can	ca	AUX
4	4	NUM
question	question	NOUN
once	once	ADV
shall	shall	AUX
hand	hand	NOUN
call	call	VERB
leave	left	VERB
person	person	NOUN
10	10	NUM
quinn	quinn	PROPN
state	state	NOUN
yes	yes	INTJ
file	file	NOUN
example	example	NOUN
think	thought	VERB
case	case	NOUN
possible	possible	ADJ
iraq	iraq	PROPN
experience	experience	NOUN
free	free	ADJ
give	given	VERB
month	months	NOUN
question	questions	NOUN
states	states	PROPN
tell	tell	VERB
american	american	ADJ
staff	staff	NOUN
time	times	NOUN
point	point	NOUN
ask	asked	VERB
though	though	SCONJ
anyone	anyone	PRON
child	children	NOUN
commission	commission	NOUN
real	real	ADJ
order	order	NOUN
thank	thank	VERB
want	wanted	VERB
set	set	VERB
enron	enron	PROPN
anything	anything	PRON
probably	probably	ADV
china	china	PROPN
include	including	VERB
fact	fact	NOUN
head	head	NOUN
young	young	ADJ
almost	almost	ADV
those	those	DET
often	often	ADV
war	war	NOUN
problem	problem	NOUN
form	form	NOUN
—	—	PUNCT
friend	friends	NOUN
make	making	VERB
power	power	NOUN
office	office	NOUN
page	page	NOUN
someone	someone	PRON
big	big	ADJ
john	john	PROPN
try	trying	VERB
full	full	ADJ
whether	whether	SCONJ
believe	believe	VERB
mother	mother	NOUN
read	read	VERB
president	president	NOUN
both	both	CCONJ
country	countries	NOUN
white	white	ADJ
man	men	NOUN
better	better	ADJ
become	become	VERB
although	although	SCONJ
he	himself	PRON
get	getting	VERB
6	6	NUM
ask	ask	VERB
know	known	VERB
recommend	recommend	VERB
give	gave	VERB
together	together	ADV
base	based	VERB
follow	following	VERB
attach	attached	VERB
phone	phone	NOUN
%	%	SYM
member	member	NOUN
among	among	ADP
nice	nice	ADJ
take	taken	VERB
hour	hours	NOUN
's	’s	PART
bad	bad	ADJ
balzac	balzac	PROPN
view	view	NOUN
four	four	NUM
space	space	NOUN
death	death	NOUN
list	list	NOUN
right	right	ADV
public	public	ADJ
yet	yet	ADV
actually	actually	ADV
feel	felt	VERB
local	local	ADJ
everyone	everyone	PRON
send	sent	VERB
upon	upon	ADP
leave	leave	VERB
understand	understand	VERB
eye	eyes	NOUN
work	working	VERB
everything	everything	PRON
not	n’t	PART
start	started	VERB
september	september	PROPN
hope	hope	VERB
email	email	NOUN
wife	wife	NOUN
major	major	ADJ
see	saw	VERB
friend	friend	NOUN
period	period	NOUN
receive	received	VERB
love	love	VERB
excellent	excellent	ADJ
soon	soon	ADV
look	looked	VERB
town	town	NOUN
take	taking	VERB
remember	remember	VERB
available	available	ADJ
across	across	ADP
20	20	NUM
have	having	VERB
live	live	VERB
market	market	NOUN
date	date	NOUN
process	process	NOUN
..	..	PUNCT
agreement	agreement	NOUN
see	seen	VERB
early	early	ADJ
light	light	NOUN
second	second	ADJ
begin	began	VERB
quality	quality	NOUN
start	start	VERB
book	book	NOUN
not	nt	PART
amount	amount	NOUN
kind	kind	NOUN
quickly	quickly	ADV
european	european	ADJ
until	until	SCONJ
pay	pay	VERB
show	show	VERB
highly	highly	ADV
europe	europe	PROPN
make	makes	VERB
whole	whole	ADJ
especially	especially	ADV
be	s	AUX
history	history	NOUN
air	air	NOUN
come	coming	VERB
york	york	PROPN
black	black	ADJ
word	word	NOUN
research	research	NOUN
friendly	friendly	ADJ
minute	minutes	NOUN
political	political	ADJ
attention	attention	NOUN
know	knew	VERB
door	door	NOUN
will	wo	AUX
dealer	dealer	NOUN
iran	iran	PROPN
security	security	NOUN
social	social	ADJ
send	send	VERB
site	site	NOUN
add	add	VERB
woman	women	NOUN
least	least	ADV
quite	quite	ADV
month	month	NOUN
game	game	NOUN
london	london	PROPN
provide	provide	VERB
george	george	PROPN
level	level	NOUN
member	members	NOUN
bit	bit	NOUN
per	per	ADP
talk	talk	VERB
face	face	NOUN
law	law	NOUN
mind	mind	NOUN
issue	issue	NOUN
group	groups	NOUN
hair	hair	NOUN
later	later	ADV
eat	eat	VERB
behind	behind	ADP
perhaps	perhaps	ADV
project	project	NOUN
instead	instead	ADV
seem	seemed	VERB
oil	oil	NOUN
international	international	ADJ
hear	heard	VERB
access	access	NOUN
university	university	PROPN
morning	morning	NOUN
deal	deal	NOUN
idea	idea	NOUN
hard	hard	ADJ
main	main	ADJ
try	tried	VERB
development	development	NOUN
move	move	VERB
century	century	NOUN
field	fields	NOUN
problem	problems	NOUN
energy	energy	NOUN
buy	buy	VERB
india	india	PROPN
age	age	NOUN
short	short	ADJ
health	health	NOUN
place	places	NOUN
!!	!!	PUNCT
stay	stay	VERB
woman	woman	NOUN
service	services	NOUN
become	became	VERB
financial	financial	ADJ
reason	reason	NOUN
five	five	NUM
hand	hands	NOUN
less	less	ADV
item	items	NOUN
israel	israel	PROPN
human	human	ADJ
april	april	PROPN
2000	2000	NUM
change	change	NOUN
area	areas	NOUN
clean	clean	ADJ
side	side	NOUN
ago	ago	ADV
parliament	parliament	NOUN
sometimes	sometimes	ADV
seem	seems	VERB
easy	easy	ADJ
position	position	NOUN
along	along	ADP
create	create	VERB
economic	economic	ADJ
care	care	NOUN
couple	couple	NOUN
six	six	NUM
2005	2005	NUM
happy	happy	ADJ
word	words	NOUN
turn	turned	VERB
community	community	NOUN
come	comes	VERB
15	15	NUM
july	july	PROPN
run	run	VERB
meet	meet	VERB
course	course	ADV
national	national	ADJ
letter	letter	NOUN
clear	clear	ADJ
open	open	ADJ
meeting	meeting	NOUN
work	worked	VERB
news	news	NOUN
study	study	NOUN
story	story	NOUN
peace	peace	NOUN
account	account	NOUN
move	moving	VERB
dog	dog	NOUN
team	team	NOUN
current	current	ADJ
need	needed	VERB
pretty	pretty	ADV
rather	rather	ADV
qaeda	qaeda	PROPN
week	weeks	NOUN
message	message	NOUN
accord	according	VERB
usually	usually	ADV
nasa	nasa	PROPN
friday	friday	PROPN
million	million	NUM
certain	certain	ADJ
recent	recent	ADJ
7	7	NUM
policy	policy	NOUN
january	january	PROPN
body	body	NOUN
control	control	NOUN
mean	mean	VERB
include	include	VERB
store	store	NOUN
former	former	ADJ
other	others	NOUN
party	party	NOUN
else	else	ADJ
guy	guys	NOUN
continue	continue	VERB
lose	lost	VERB
particular	particular	ADJ
website	website	NOUN
america	america	PROPN
military	military	ADJ
maybe	maybe	ADV
girl	girl	NOUN
street	street	NOUN
stillman	stillman	PROPN
issue	issues	NOUN
seem	seem	VERB
therefore	therefore	ADV
sea	sea	NOUN
common	common	ADJ
web	web	NOUN
mean	means	VERB
child	child	NOUN
keep	kept	VERB
xml	xml	PROPN
rule	rules	NOUN
!!!	!!!	PUNCT
result	result	NOUN
strong	strong	ADJ
connection	connection	NOUN
bear	born	VERB
customer	customer	NOUN
below	below	ADV
dead	dead	ADJ
hear	hear	VERB
front	front	NOUN
30	30	NUM
texas	texas	PROPN
change	changes	NOUN
march	march	PROPN
