lemma	form	pos
.	.	PUNCT
,	,	PUNCT
ja	ja	CCONJ
olla	on	AUX
ei	ei	AUX
että	että	SCONJ
olla	oli	AUX
se	se	PRON
hän	hän	PRON
?	?	PUNCT
mutta	mutta	CCONJ
kun	kun	SCONJ
kuin	kuin	SCONJ
tai	tai	CCONJ
)	)	PUNCT
olla	ovat	AUX
se	sen	PRON
(	(	PUNCT
""""	""""	PUNCT
jos	jos	SCONJ
joka	joka	PRON
olla	ole	AUX
nyt	nyt	ADV
voida	voi	AUX
myös	myös	ADV
:	:	PUNCT
-	-	PUNCT
se	sitä	PRON
ei	en	AUX
minä	minä	PRON
olla	olisi	AUX
”	”	PUNCT
sekä	sekä	CCONJ
mikä	mitä	PRON
!	!	PUNCT
se	siitä	PRON
kanssa	kanssa	ADP
mukaan	mukaan	ADP
niin	niin	PART
vuosi	vuonna	NOUN
olla	olla	AUX
hän	hänen	PRON
tämä	tämä	PRON
jälkeen	jälkeen	ADP
olla	ollut	AUX
ei	eivät	AUX
joka	jotka	PRON
vuosi	vuoden	NOUN
kaikki	kaikki	PRON
vaikka	vaikka	SCONJ
minä	mä	PRON
vain	vain	ADV
sitten	sitten	ADV
aina	aina	ADV
hyvin	hyvin	ADV
koko	koko	ADJ
tämä	tämän	PRON
tulla	tulee	VERB
paljon	paljon	ADV
tulla	tuli	VERB
eurooppa	euroopan	PROPN
jo	jo	PART
olla	olen	AUX
–	–	PUNCT
olla	olivat	AUX
ei	eikä	AUX
miten	miten	ADV
kaksi	kaksi	NUM
vielä	vielä	PART
mies	mies	NOUN
se	ne	PRON
suomi	suomen	PROPN
koska	koska	SCONJ
joka	jonka	PRON
joka	jossa	PRON
;	;	PUNCT
kuitenkin	kuitenkin	ADV
siellä	siellä	ADV
sanoa	sanoi	VERB
vaan	vaan	CCONJ
sinä	sinä	PRON
_	ettei	_
vähän	vähän	ADV
se	siihen	PRON
saada	saa	VERB
hyvä	hyvä	ADJ
tehdä	tehdä	VERB
vai	vai	CCONJ
täällä	täällä	ADV
mikä	mikä	PRON
esimerkiksi	esimerkiksi	ADV
ottaa	ottaa	VERB
että	ett	SCONJ
se	siinä	PRON
vuosi	vuotta	NOUN
sillä	sillä	SCONJ
viime	viime	ADJ
mikään	mitään	PRON
kuinka	kuinka	ADV
saada	sai	VERB
kyllä	kyllä	PART
enemmän	enemmän	ADV
päivä	päivänä	NOUN
turku	turun	PROPN
eli	eli	CCONJ
