lemma	form	pos
ה	ה	DET
ב	ב	ADP
,	,	PUNCT
.	.	PUNCT
ו	ו	CCONJ
ל	ל	ADP
ש	ש	SCONJ
ה	ה_	DET
של	_של_	ADP
של	של	ADP
הוא	_הוא	PRON
""""	""""	PUNCT
את	את	ADP
מ	מ	ADP
על	על	ADP
-	-	PUNCT
לא	לא	ADV
הוא	_הם	PRON
הוא	_היא	PRON
כי	כי	SCONJ
כ	כ	ADP
הוא	הוא	PRON
כול	כל	DET
גם	גם	ADV
זה	זה	PRON
)	)	PUNCT
(	(	PUNCT
עם	עם	ADP
ל	ל_	ADP
:	:	PUNCT
ב	ב_	ADP
היה	היה	AUX
בית	בית	NOUN
ישראל	ישראל	PROPN
בין	בין	ADP
זו	זו	PRON
אם	אם	SCONJ
או	או	CCONJ
רק	רק	ADV
יותר	יותר	ADV
את	את_	ADP
יש	יש	VERB
עד	עד	ADP
הוא	הם	PRON
כך	כך	PRON
;	;	PUNCT
אבל	אבל	CCONJ
אלה	אלה	PRON
אחד	אחד	NUM
הוא	היא	PRON
הוא	_הן	PRON
יום	יום	NOUN
כדי	כדי	ADP
של	של_	ADP
הוא	_אני	PRON
שני	שני	NUM
אך	אך	CCONJ
זאת	זאת	PRON
מה	מה	ADV
הוא	_אנחנו	PRON
אין	אין	VERB
משרד	משרד	NOUN
אמר	אמר	VERB
משטרה	משטרה	NOUN
לאחר	לאחר	ADP
לפני	לפני	ADP
_	לו	_
ירושלים	ירושלים	PROPN
עוד	עוד	ADV
שר	שר	NOUN
משפט	משפט	NOUN
%	%	NOUN
ממשלה	ממשלה	NOUN
כמו	כמו	ADP
כמה	כמה	DET
ארץ	ארץ	NOUN
הוא	אני	PRON
שנה	שנים	NOUN
חברה	חברה	NOUN
דבר	דבר	NOUN
היה	היו	AUX
אינו	אינו	AUX
שנה	שנה	NOUN
?	?	PUNCT
ביותר	ביותר	ADV
_	שהוא	_
פועל	פועל	NOUN
אתמול	אתמול	ADV
נגד	נגד	ADP
מקום	מקום	NOUN
כש	כש	SCONJ
כבר	כבר	ADV
תל	תל	NOUN
כאשר	כאשר	SCONJ
שבוע	שבוע	NOUN
_	בו	_
איש	איש	NOUN
"ש""ח"	"ש""ח"	NOUN
ראש	ראש	NOUN
היה	היתה	AUX
על	על_	ADP
אביב	אביב	NOUN
כהנא	כהנא	PROPN
משחק	משחק	NOUN
אחת	אחת	NUM
אחרי	אחרי	ADP
מן	מן_	ADP
עבודה	עבודה	NOUN
מן	מן	ADP
_	המשפט	_
_	המשטרה	_
_	אותו	_
_	שלו	_
פה	פי	NOUN
אדם	אדם	NOUN
אפשר	אפשר	AUX
בנק	בנק	NOUN
קיבוץ	קיבוץ	NOUN
מי	מי	ADV
מכבי	מכבי	PROPN
אלא	אלא	CCONJ
שם	שם	ADV
יום	ימים	NOUN
"ארה""ב"	"ארה""ב"	PROPN
