lemma	form	pos
a	a	DET
,	,	PUNCT
.	.	PUNCT
az	az	DET
és	és	CCONJ
hogy	hogy	SCONJ
—	—	PUNCT
is	is	CCONJ
nem	nem	ADV
""""	""""	PUNCT
s	s	CCONJ
:	:	PUNCT
szerint	szerint	ADP
már	már	ADV
még	még	ADV
de	de	CCONJ
(	(	PUNCT
)	)	PUNCT
csak	csak	ADV
egy	egy	DET
meg	meg	PART
az	azt	PRON
két	két	NUM
ki	ki	ADV
ha	ha	SCONJ
el	el	ADV
pedig	pedig	CCONJ
mint	mint	SCONJ
kell	kell	VERB
van	volt	AUX
után	után	ADP
milliárd	milliárd	NUM
sem	sem	ADV
első	első	ADJ
aki	aki	PRON
kormány	kormány	NOUN
magyar	magyar	ADJ
ez	ez	PRON
között	között	ADP
azonban	azonban	CCONJ
fel	fel	ADV
új	új	ADJ
van	van	VERB
által	által	ADP
miatt	miatt	ADP
millió	millió	NUM
úgy	úgy	ADV
például	például	ADV
év	év	NOUN
hiszen	hiszen	CCONJ
amely	amely	PRON
több	több	DET
mert	mert	SCONJ
akkor	akkor	ADV
hanem	hanem	CCONJ
vagy	vagy	CCONJ
ma	ma	ADV
be	be	ADV
orosz	orosz	ADJ
ami	ami	PRON
most	most	ADV
az	annak	PRON
majd	majd	ADV
ám	ám	CCONJ
cég	cég	NOUN
illetve	illetve	CCONJ
nagy	nagy	ADJ
az	arra	PRON
amikor	amikor	ADV
alatt	alatt	ADP
gazdasági	gazdasági	ADJ
így	így	ADV
százalékos	százalékos	ADJ
forint	forint	NOUN
tavaly	tavaly	ADV
óta	óta	ADP
három	három	NUM
parlamenti	parlamenti	ADJ
minden	minden	DET
ahol	ahol	ADV
amely	amelynek	PRON
?	?	PUNCT
ő	ő	PRON
mond	mondta	VERB
jövő	jövő	ADJ
egyik	egyik	DET
nemzetközi	nemzetközi	ADJ
ez	ezt	PRON
ugyanis	ugyanis	CCONJ
politikai	politikai	ADJ
évi	évi	ADJ
idén	idén	ADV
korán	korábban	ADV
ezer	ezer	NUM
múlt	múlt	ADJ
című	című	ADJ
mellett	mellett	ADP
százalék	százalékkal	NOUN
lesz	lehet	VERB
nagy	legnagyobb	ADJ
előtt	előtt	ADP
mintegy	mintegy	ADV
szerb	szerb	ADJ
ellen	ellen	ADP
éppen	éppen	ADV
valamint	valamint	CCONJ
ezért	ezért	ADV
közül	közül	ADP
elmúlt	elmúlt	ADJ
szemben	szemben	ADP
ez	ennek	PRON
év	évben	NOUN
lászló	lászló	PROPN
tegnap	tegnap	ADV
hét	héten	NOUN
hasonló	hasonló	ADJ
nagyon	nagyon	ADV
elnök	elnök	NOUN
viszont	viszont	CCONJ
utóbbi	utóbbi	ADJ
állami	állami	ADJ
-e	-e	ADV
jó	jó	ADJ
éves	éves	ADJ
miután	miután	SCONJ
egyébként	egyébként	ADV
miniszterelnök	miniszterelnök	NOUN
egész	egész	ADJ
egyre	egyre	ADV
év	évek	NOUN
az	arról	PRON
egyelőre	egyelőre	ADV
egyes	egyes	ADJ
szerda	szerdán	NOUN
legalább	legalább	ADV
költségvetési	költségvetési	ADJ
volna	volna	AUX
német	német	ADJ
négy	négy	NUM
kormányfő	kormányfő	NOUN
elnök	elnöke	NOUN
olyan	olyan	ADJ
orbán	orbán	PROPN
második	második	ADJ
eleje	elején	NOUN
ellenére	ellenére	ADP
ott	ott	ADV
kell	kellene	VERB
30	30	NUM
míg	míg	ADV
ez	ezzel	PRON
számára	számára	ADP
vég	végén	NOUN
vezető	vezetője	NOUN
gazprom	gazprom	PROPN
én	én	PRON
való	való	ADJ
hazai	hazai	ADJ
át	át	ADV
ugyan	ugyan	SCONJ
viktor	viktor	PROPN
ugyanakkor	ugyanakkor	ADV
az	azzal	PRON
új	újabb	ADJ
mindig	mindig	ADV
alap	alapján	NOUN
cseh	cseh	ADJ
este	este	ADV
amerikai	amerikai	ADJ
el+mond	elmondta	VERB
belül	belül	ADP
ne	name	ADV
állam	állam	NOUN
ismét	ismét	ADV
bár	bár	SCONJ
egyetlen	egyetlen	ADJ
jános	jános	PROPN
lévő	lévő	ADJ
sőt	sőt	CCONJ
ferenc	ferenc	PROPN
jelent	jelentette	VERB
tehát	tehát	CCONJ
lesz	lesz	AUX
elsősorban	elsősorban	ADV
követő	követően	ADJ
parlament	parlament	NOUN
kerül	került	VERB
nincs	nincs	VERB
csupán	csupán	ADV
először	először	ADV
!	!	PUNCT
néhány	néhány	DET
megyei	megyei	ADJ
teljes	teljes	ADJ
hivatalos	hivatalos	ADJ
miközben	miközben	ADV
van	vannak	VERB
török	török	ADJ
10	10	NUM
ők	őket	PRON
hiába	hiába	ADV
le	le	ADV
rt.	rt.	PROPN
százalék	százaléka	NOUN
ami	amit	PRON
sok	sok	DET
jövőre	jövőre	ADV
azért	azért	ADV
helyzet	helyzet	NOUN
év	éve	NOUN
álló	álló	ADJ
jelenlegi	jelenlegi	ADJ
koszovói	koszovói	ADJ
starbucks	starbucks	PROPN
nélkül	nélkül	ADP
január	január	NOUN
lesz	lenne	AUX
szakértő	szakértők	NOUN
hét	hét	NOUN
maga	maga	PRON
fél	fél	NUM
elő	elő	ADV
helyi	helyi	ADJ
;	;	PUNCT
fontos	fontos	ADJ
újra	újra	ADV
