lemma	form	pos
,	,	PUNCT
.	.	PUNCT
yang	yang	PRON
dan	dan	CCONJ
di	di	ADP
-	-	PUNCT
pada	pada	ADP
dari	dari	ADP
dengan	dengan	ADP
ini	ini	DET
)	)	PUNCT
(	(	PUNCT
adalah	adalah	AUX
untuk	untuk	ADP
dalam	dalam	ADP
tahun	tahun	NOUN
?	?	PUNCT
""""	""""	PUNCT
oleh	oleh	ADP
sebagai	sebagai	ADP
ia	ia	PRON
indonesia	indonesia	PROPN
itu	itu	DET
atau	atau	CCONJ
tidak	tidak	PART
menjadi	menjadi	VERB
sebuah	sebuah	DET
mereka	mereka	PRON
juga	juga	ADV
ke	ke	ADP
merupakan	merupakan	VERB
_	nya	PRON
:	:	PUNCT
orang	orang	NOUN
menmiliki	memiliki	VERB
akan	akan	ADV
tersebut	tersebut	DET
dapat	dapat	ADV
ada	ada	VERB
telah	telah	ADV
desa	desa	NOUN
kabupaten	kabupaten	PROPN
seperti	seperti	ADP
satu	satu	DET
kota	kota	NOUN
lebih	lebih	ADV
seorang	seorang	DET
lain	lain	ADJ
kemudian	kemudian	ADV
nama	nama	NOUN
_	'	PUNCT
karena	karena	SCONJ
/	/	SYM
kecamatan	kecamatan	PROPN
salah	salah	DET
beberapa	beberapa	DET
bahwa	bahwa	SCONJ
secara	secara	ADP
;	;	PUNCT
jawa	jawa	PROPN
bagian	bagian	NOUN
bahasa	bahasa	NOUN
dua	dua	NUM
dia	dia	PRON
antara	antara	ADP
setelah	setelah	ADP
para	para	DET
besar	besar	ADJ
kepada	kepada	ADP
provinsi	provinsi	PROPN
wilayah	wilayah	NOUN
negara	negara	NOUN
terletak	terletak	VERB
tanggal	tanggal	NOUN
hanya	hanya	ADV
daerah	daerah	NOUN
digunakan	digunakan	VERB
film	film	NOUN
anak	anak	NOUN
namun	namun	SCONJ
berada	berada	VERB
mengunakan	menggunakan	VERB
dikenal	dikenal	VERB
masa	masa	NOUN
tempat	tempat	NOUN
pertama	pertama	NUM
apa	apa	PRON
saat	saat	NOUN
amerika	amerika	PROPN
kedua	kedua	NUM
selama	selama	ADP
sampai	sampai	ADP
masih	masih	ADV
hari	hari	NOUN
bisa	bisa	ADV
serta	serta	CCONJ
lagu	lagu	NOUN
1	1	NUM
sejak	sejak	ADP
tentang	tentang	ADP
waktu	waktu	NOUN
berbagai	berbagai	DET
timur	timur	PROPN
sangat	sangat	ADV
barat	barat	PROPN
hal	hal	NOUN
