lemma	form	pos
.	.	PUNCT
,	,	PUNCT
உம்	உம்	PART
உள்	உள்ளது	AUX
என்	என்று	PART
ஆன	ஆன	PART
ஆக	ஆக	PART
அவர்	அவர்	PRON
படு	பட்ட்	AUX
உள்	உள்ள	ADJ
இந்த	இந்த	DET
வேண்டு	வேண்டும்	AUX
மற்றும்	மற்றும்	CCONJ
நாடு	நாடுகள்	NOUN
அரசு	அரசு	NOUN
இந்தியா	இந்தியா	PROPN
உள்	உள்ளார்	AUX
உடன்	உடன்	ADP
என்	என	PART
இல்	இல்லை	AUX
தலைவர்	தலைவர்	NOUN
படு	பட்டது	AUX
என்	என்ற்	PART
மத்திய	மத்திய	ADJ
இரு	இரு	NUM
_	என்றும்	_
ஆகு	ஆகவ்	PART
செயலாளர்	செயலாளர்	NOUN
இலிருந்து	இலிருந்து	ADP
போது	போது	PART
முதல்வர்	முதல்வர்	NOUN
தெரிவி	தெரிவித்தார்	VERB
உள்	உள்ளனர்	AUX
இந்தியா	இந்திய	PROPN
பேர்	பேர்	NOUN
ஒரு	ஒரு	ADJ
படு	பட்டு	AUX
தெரிவி	தெரிவித்த்	VERB
இன்று	இன்று	ADV
மக்கள்	மக்கள்	NOUN
ஆண்டு	ஆண்டு	NOUN
என்	என்ற	PART
அமெரிக்கா	அமெரிக்க	PROPN
இலங்கை	இலங்கை	PROPN
மேலும்	மேலும்	ADV
இது	இது	PRON
உள்ளிடு	உள்ளிட்ட	ADJ
அதிமுக	அதிமுக	PROPN
அதிகாரி	அதிகாரிகள்	NOUN
என்	என்றார்	VERB
குறி	குறித்து	ADP
அந்த	அந்த	DET
கடந்த	கடந்த	ADJ
உள்	உள்ளன	AUX
பாகிஸ்தான்	பாகிஸ்தான்	PROPN
வரு	வருகின்றனர்	AUX
அமைச்சர்	அமைச்சர்	NOUN
தான்	தான்	PART
கட்சி	கட்சி	NOUN
மீது	மீது	ADP
காங்கிரஸ்	காங்கிரஸ்	PROPN
நிலை	நிலையில்	NOUN
தலைமை	தலைமைச்	NOUN
ஆனால்	ஆனால்	ADV
-	-	PUNCT
இரு	இருந்த	ADJ
ஏ	ஏ	PART
கிரிக்கெட்	கிரிக்கெட்	PROPN
தமிழகம்	தமிழக	PROPN
தெரிவி	தெரிவிக்கப்	VERB
உறுப்பினர்	உறுப்பினர்	NOUN
படு	ப்படும்	AUX
வா	வந்த	ADJ
அணு	அணு	NOUN
2	2	NUM
:	:	PUNCT
