lemma	form	pos
.	.	PUNCT
,	,	PUNCT
bir	bir	NUM
ve	ve	CCONJ
bu	bu	DET
?	?	PUNCT
ki	ki	ADP
de	de	CCONJ
""""	""""	PUNCT
için	için	ADP
da	da	CCONJ
daha	daha	ADV
...	...	PUNCT
gibi	gibi	ADP
o	o	DET
çok	çok	ADV
kadar	kadar	ADP
ben	ben	PRON
var	var	ADJ
de	dedi	VERB
her	her	DET
ama	ama	CCONJ
en	en	ADV
ne	ne	PRON
-	-	PUNCT
:	:	PUNCT
diye	diye	ADP
iki	iki	NUM
sonra	sonra	ADP
büyük	büyük	ADJ
;	;	PUNCT
yeni	yeni	ADJ
şey	şey	NOUN
yok	yok	ADJ
gün	gün	NOUN
ben	bana	PRON
!	!	PUNCT
mi	mi	AUX
li	li	ADP
zaman	zaman	NOUN
)	)	PUNCT
(	(	PUNCT
hiç	hiç	ADV
ol	olan	VERB
ya	ya	CCONJ
ile	ile	CCONJ
iyi	iyi	ADJ
artık	artık	ADV
li	lı	ADP
ben	beni	PRON
i	dir	AUX
yıl	yıl	NOUN
sen	sen	PRON
ol	olarak	AUX
i	dır	AUX
son	son	ADJ
ben	benim	PRON
o	onu	PRON
önce	önce	ADP
bile	bile	ADV
kendi	kendi	PRON
bura	burada	PRON
üç	üç	NUM
i	ise	AUX
o	onun	PRON
o	ona	PRON
aynı	aynı	ADJ
bugün	bugün	NOUN
göre	göre	ADP
'	'	PUNCT
iç	içinde	ADJ
i	dı	AUX
i	ydi	AUX
şu	şu	DET
ev	ev	NOUN
nasıl	nasıl	ADV
birkaç	birkaç	DET
adam	adam	NOUN
çocuk	çocuk	NOUN
değil	değil	VERB
şimdi	şimdi	ADV
de	dedim	VERB
biraz	biraz	ADV
ancak	ancak	ADV
bu	bunu	PRON
küçük	küçük	ADJ
söyle	söyledi	VERB
ilk	ilk	ADJ
ol	oldu	VERB
mı	mı	AUX
güzel	güzel	ADJ
bazı	bazı	DET
ahmet	ahmet	PROPN
hiçbir	hiçbir	DET
ol	olduğunu	VERB
saat	saat	NOUN
ev	evde	NOUN
biz	biz	PRON
hem	hem	CCONJ
gel	geldi	VERB
et	etti	VERB
eski	eski	ADJ
başka	başka	ADJ
yer	yer	NOUN
on	on	NUM
sen	sana	PRON
ol	olduğu	VERB
i	ydı	AUX
beş	beş	NUM
böyle	böyle	ADV
uzun	uzun	ADJ
bin	bin	NUM
gece	gece	NOUN
ilgili	ilgili	ADJ
